latitude,longitude
40.0175444,-105.2833481
45.5889058992,-122.5933307507
49.2513423,-123.101333
39.947006523,-82.997471
42.541155,-70.973438
28.5132647,-81.3747072
28.3504984,-81.542819
28.4503025,-81.3805873
28.3819454,-81.510327
42.338544,-71.106842
42.3634422,-71.0257812
49.2544359,-123.0200503
42.3426726,-71.0842392
45.5264727,-122.535323
30.243493,-97.730141
30.2345329,-97.8772622
28.538452,-81.737625
49.173723,-122.889641
45.5184501881,-122.6757229865
28.5205,-81.44395
40.0336776766,-105.2591028437
28.8006862,-81.3317118
42.5069354,-71.1958538
30.4418754072,-97.7465811589
33.846335,-84.3635778
28.551335,-81.483167
30.230016,-97.7326393
42.3954064535,-71.0794906915
45.6988889,-122.703543
42.4680809796,-70.9167520723
33.8428749,-84.3785385
28.4632778,-81.4511805
28.882545,-81.279028
45.5162412,-122.5975269
45.5230736,-122.6962064
30.081542,-97.844353
45.5299395,-122.6829322
33.8966405,-84.280918
45.5131986231,-122.6763805441
30.2299127,-97.7326495
49.2375466909,-122.8726284322
42.3872124,-71.1185319
30.0875883,-97.8224388
28.673554,-81.47132
28.5928805908,-80.8037285507
45.516382,-122.618593
49.2863603653,-123.1402613545
40.0653778,-83.0714151
42.4007464,-71.1178033
42.2878446,-71.107567
28.6021283,-81.3639521
45.665628,-122.5582743
49.2619451,-122.8904787
42.3307744,-71.1916386
28.660996,-81.401399
49.2195321279,-123.0408930571
39.9008549,-83.0787302
33.772758,-84.380375
39.9462675588,-82.9910435896
33.640879018,-84.4255140424
40.0706936,-105.2003756
33.8507753117,-84.209299451
33.7992549,-84.2139196
33.8551066087,-84.3133151086
42.2156072,-70.8851316
45.5274187,-122.6844472
33.7599229,-84.3864441
45.4158590681,-122.7914564083
42.4610998,-71.0269103
30.162081,-97.789132
45.5210363,-122.6766335
42.206267,-71.024461
33.8275823,-84.328604
42.5516861338,-70.9331208712
28.6182223633,-81.2649572735
39.919976,-83.1258222
28.3732694002,-81.5030797147
42.2722338,-71.02395
42.468583,-71.0681737
42.3726938016,-71.0991704464
42.361382,-71.158536
45.5205512296,-122.6787543126
28.2992975165,-81.554198355
45.4279596,-122.5391952
28.540813,-81.3802985
30.0134653475,-97.8636249301
45.522063,-122.579848
42.274196,-71.115652
49.2440788,-123.0633372
45.5214333486,-122.683917135
30.2321333363,-97.8231829405
49.283532,-123.117107
30.2669961,-97.7453625
49.1871609,-123.1313808
30.2666386,-97.7436592
45.5130803159,-122.6762986556
42.1018007,-71.0665358
30.3729298,-97.7240756
42.4852702,-71.2121289
39.9121393441,-82.8802343968
42.378711,-71.062136
42.1987675,-71.0003282
40.0864583,-82.9501165
33.7826388,-84.4115507
45.554568,-122.675674
28.3417838,-81.4216743
33.640923,-84.3624404
49.310091,-123.041686
28.464982,-81.390952
33.788608261,-84.3690906035
45.4935085,-122.8529243
42.485395,-71.210903
45.496485,-122.626764
33.759931,-84.383949
30.1925973,-97.7386784
33.757001,-84.393034
42.5272163,-70.9936175
40.0083525,-105.2765998
42.3418764,-71.055116
45.5773886,-122.6430574
42.4957023,-71.0167222
42.3634010563,-71.3945123025
39.9004680273,-83.4344760329
42.2801359,-71.2361292
40.0171515159,-105.2555162737
45.404002,-122.621769
28.4518821484,-81.487382886
45.5425541,-122.6033063
42.343415,-71.099013
45.512154,-122.6431199
42.3379247,-71.074729
30.4183815514,-97.7019745078
28.5534641199,-81.3649773955
33.8116376253,-84.3572405323
30.3075574,-97.9262186
30.2729209,-97.7443863
28.3547972,-80.7259893
28.4913358,-81.4287783
49.1668313,-123.1377469
45.5172228,-122.6810692
42.2764590193,-71.1667689998
33.9259745,-84.3781593
45.4433264,-122.8033274
42.524193,-70.923611
28.9282700417,-81.1889098585
33.6832923,-84.2329644
28.3717155355,-81.5178891589
42.520415,-70.8916573
49.2890522,-123.1394572
28.4930274,-81.4735774
45.5205359903,-122.6816037297
30.1918731593,-98.0889630318
45.526686131,-122.5382611156
28.7555050876,-81.3445938699
42.1634917,-71.0409924
28.1480311,-81.4523191
49.279852,-122.798073
42.2152546,-70.9235181
49.254865,-123.020418
42.298532,-71.399635
42.5485043,-70.8787593
45.5591054,-122.6512761
30.3069183783,-97.9384293312
45.4977464697,-122.6360719
28.346621,-81.610219
42.3635433,-71.1295592
40.0147968,-83.0014099
45.4789575,-122.6202643
28.5142749,-81.1543345
42.2892076,-71.0728744
49.2623212,-123.089898
39.879124,-83.04617
45.5234782,-122.6972354
42.468564,-71.178455
49.3102265171,-123.0819049048
45.4827956,-122.6760019
42.2917663,-70.87449
42.3633808318,-71.1950764361
33.7868725,-84.3825721
49.2500582025,-122.8924229495
28.5412869,-81.3768161
40.1575346,-83.08787
30.2905467,-97.7446487
45.4754952717,-122.8013773242
42.364992,-71.062266
42.5355857,-70.9171059
30.393005,-97.706731
49.321967,-123.072807
28.5407648,-81.3776482
42.4593125,-71.1399081
30.4177173,-97.7007401
42.2762493274,-71.0088366667
45.517338,-122.563968
42.2860974,-71.1367909
45.4160477657,-122.7200023379
45.3560801,-122.6050771
45.6244557093,-122.5899080327
49.1972558564,-123.1743979454
40.0200923,-105.2776553
45.5459972,-122.5785237
49.2492979664,-122.867572733
45.629776,-122.671961
40.0858653,-82.9649575
45.512142,-122.6430726
28.7586104358,-81.3219630054
45.5355829092,-122.8767311951
40.073398,-83.132336
40.2994699,-83.0674219
33.9214823922,-84.4682078923
30.224735,-97.772428
40.0199732,-82.8668356
45.510138,-122.677199
42.3103234,-71.2768182
28.808765,-81.265112
30.2100611,-97.7868812
45.5289822,-122.6831063
33.8858625,-84.2583752
30.27125,-97.731588
45.5247072,-122.8155379
45.3786858,-122.6028469
45.669005,-122.628505
30.2688384,-97.7365492
45.533263,-122.5373376
45.4936755,-122.5793608
42.3214163153,-71.1752104658
45.643388,-122.610665
42.3835307,-71.1131702
49.2715122,-123.1548322
40.153431,-83.1289626
30.2251915,-97.8213415
42.3719262,-71.0857741535
42.479794,-70.942541
28.5572082,-81.36474
42.382105,-71.1018281
30.2613776,-97.7142394
49.2837849,-123.1066087
33.6169406,-84.4057349
49.2630454634,-123.112614326
49.2193525649,-122.9706721008
42.316862,-71.113271
49.2680701,-123.1475085
28.651225,-81.2086378
40.1561535998,-83.0009796
42.3383941,-71.0498008
28.5105029935,-81.1561918371
33.7817985,-84.4078676
42.3529528,-71.1329989
33.923643,-84.3399489
49.2640755304,-123.1659137158
28.3039488,-81.3935772
33.8426915242,-84.3704558133
49.2682315,-123.1488691
28.811882,-81.344261
28.355841,-81.534603
49.280949,-123.0091785
45.6195619,-122.4763648
30.2671222873,-97.7500280758
42.3522867,-71.1321838
42.5339175,-70.8871985
30.3412737662,-97.7383886364
49.2227533,-122.9810296
33.901926,-84.27611
28.3049666,-81.4348508
49.3121279,-123.0780797
45.5375748,-122.7083825
30.3059071,-97.7431556
45.3762946,-122.6022879
30.2848948,-97.7367519
33.847331,-84.372713
30.230981,-97.817636
45.512267,-122.6323559
42.3645177,-71.061731
49.2827437787,-123.1045918426
28.475377,-81.3691319
42.3486744,-71.0836219
28.6676625,-81.5089363
30.119920287,-97.6347086616
39.950839,-83.003797
42.366045,-71.016468
45.53217,-122.699013
30.2687289671,-97.7283888839
28.543402,-81.367959
40.0761750387,-83.1411534
42.3954502,-71.121741
28.4414897,-81.4712016
33.6537153,-84.4498588
28.3345534,-81.5008796
49.134882957,-122.8919201082
28.672014,-81.33854
42.5238574,-70.921367
30.318749,-97.73152
45.486902,-122.7798425
49.2874677,-123.1287922
42.3602633,-71.2392877
42.4146976,-71.0480985
40.0171191,-105.2569101
49.210252,-123.140755
40.0217904,-83.0136254
45.5260759,-122.6819204
45.5238168,-122.6808522
30.304773,-97.934122
49.2255205,-122.9883377
28.5553662396,-81.2026464148
42.5122081,-71.0246581
49.263047,-123.117827
42.5488738,-71.0063637
45.5627869,-122.6755114
45.4544583,-122.5787463
49.2853482,-123.1206773
49.2835046,-123.1047979
33.758258,-84.3484743
28.3533325,-81.4051029
28.5676358,-81.2784124
28.4912556,-81.3731596
45.5265522,-122.688183
28.411547,-81.240481
30.415048,-97.6956507
42.352114,-71.064379
28.6975152,-81.3625837
40.0104353,-83.0105431
49.2572813531,-123.0897673308
42.3254256281,-71.2600682011
45.5119301,-122.6263452
33.68252,-84.409127
49.2359825396,-123.1196594238
42.5174255,-71.0636716
45.5228622485,-122.6724387118
42.5862169,-71.1987621
33.810452,-84.270777
28.663583,-81.392766
28.5234748,-81.3440402
42.519645,-71.092429
28.5514678821,-81.5854815836
45.5211215191,-122.6835216
28.4852095,-81.4181542
39.8423327,-82.805668
40.0545284,-105.2821255
42.34881,-71.099424
45.6735829,-122.6625675
33.802353,-84.393173
42.362341,-71.157613
49.1839382199,-123.0920923938
42.522424,-70.889903
49.2491924,-122.8588502
28.602052,-81.362824
45.4672699,-122.6531317
30.0128409558,-97.8621921541
28.485254,-81.432187
45.5192806032,-122.5585593831
42.520542,-70.890232
42.3636176318,-71.0547208786
28.7045838319,-81.4201327041
49.222595,-122.914629
42.364167,-71.102964
28.5542126431,-81.3775464778
